Customer_care_calls,Customer_rating,Cost_of_the_Product,Prior_purchases,Discount_offered,Weight_in_gms,Cost_to_Weight_Ratio,Warehouse_block_B,Warehouse_block_C,Warehouse_block_D,Warehouse_block_F,Mode_of_Shipment_Road,Mode_of_Shipment_Ship,Product_importance_low,Product_importance_medium,Gender_M,Reached.on.Time_Y.N
-0.04771131501848488,-1.4081993653114504,1.0570539972559145,-1.0294237660695578,-0.2698717875257726,0.32041970252946206,-0.29437468402701217,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0
-0.9237993849488977,0.006689172101598107,-1.002824515131632,-1.0294237660695578,0.7792007150611081,-1.2077375509978214,0.32945900547602364,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,1
-0.9237993849488977,-0.7007550966049262,0.22477985083670385,-1.0294237660695578,-0.2698717875257726,0.508764013888567,-0.531998254246469,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0
-0.9237993849488977,1.4215777095146467,-1.1068587834340333,0.28395426466922724,-0.7018428180027235,0.615166319656373,-0.81189011824162,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0
-1.7998874548793105,1.4215777095146467,1.2859293875211975,-1.0294237660695578,0.6557804206391221,0.0024358002348692388,-0.07981978866504648,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1
-0.04771131501848488,1.4215777095146467,0.9114060216325527,-0.3727347507001652,0.964331156694087,0.15347815382480082,-0.2477086764773847,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,1
-1.7998874548793105,1.4215777095146467,0.7449511923487105,0.9406432800386197,2.0134036592809674,-0.7319847125647576,0.3883856616489642,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,1
-0.04771131501848488,-0.7007550966049262,0.22477985083670385,-1.0294237660695578,-0.023031198681800702,-0.3283897596523898,-0.1407564206507469,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1
-1.7998874548793105,-0.7007550966049262,-1.5854164176250796,-0.3727347507001652,1.5197224815930237,-1.3954703548525138,0.35563028686699627,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,1
-0.04771131501848488,0.7141334408081224,-1.1900861980759543,0.9406432800386197,-0.2698717875257726,1.3355221598545084,-0.9467227490895318,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,0
0.828376754911928,0.006689172101598107,0.3496209727995854,0.9406432800386197,-0.7018428180027235,-1.020616254647542,0.6491227556417632,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0
-0.9237993849488977,0.006689172101598107,0.8281786069906316,-0.3727347507001652,-0.2698717875257726,0.8310284687140486,-0.5215332389982004,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0
0.828376754911928,0.006689172101598107,-0.02490239308905937,0.28395426466922724,-0.3932920819477586,-0.5864459265145401,-0.019643110424570703,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1
1.7044648248423406,1.4215777095146467,0.620110070385829,-0.3727347507001652,-0.5784225235807375,0.9692291647113139,-0.5945839903431706,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,1
-0.04771131501848488,0.006689172101598107,1.0986677045768751,1.5973322954080122,-0.3315819347367656,-1.5355055733630172,2.7716807185398484,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,1
